Genus;Species;TAB;BIZ;RAF;ZAO;ZAP;ELK;MON;HER;MAH;GAL;MAR;PPR;BPA;PPE;SDO;CBA;TAV;LIV;LAM;CAR;PCO;CHIA;MOR;GIAN;LAMP;MART;MED;ALI;BS;Living habit
Gammarus aequicauda (Martynov, 1931);Gammarus;aequicauda;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;0;0;0;0;0;0;0;0;0;0;14;Free
Gammarus crinicornis Stock, 1966;Gammarus;crinicornis;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;20;Free
Protohyale (Boreohyale) camptonyx (Heller, 1866);Protohyale (Boreohyale);camptonyx;1;1;1;1;1;1;1;1;1;0;0;0;0;0;0;1;1;0;1;1;0;0;0;0;0;0;0;0;5.5;Tube
Apohyale crassipes (Heller, 1866);Apohyale;crassipes;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;7.5;Tube
Protohyale (Protohyale) schmidtii (Heller, 1866);Protohyale (Protohyale);schmidtii;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;1;1;0;0;0;0;0;1;1;1;0;5.5;Tube
Hyale stebbingi Chevreux, 1888;Hyale;stebbingi;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;5;Tube
Parhyale aquilina (Costa, 1857);Parhyale;aquilina;0;0;0;0;0;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;6;Tube
Coboldus nitior Krapp-Schickel, 1974;Coboldus;nitior;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;5;Free
Iphimedia minuta G. O. Sars, 1883;Iphimedia;minuta;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;1;1;0;1;0;1;1;1;1;1;1;1;1;6;Free
Iphimedia serratipes Ruffo & Schiecke, 1979;Iphimedia;serratipes;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;1;0;0;0;0;0;0;4.2;Free
Iphimedia vicina Ruffo & Schiecke, 1979;Iphimedia;vicina;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;5;Free
Centraloecetes dellavallei (Stebbing, 1899);Centraloecetes;dellavallei;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;1;0;0;0;0;0;1;0;0;0;0;6;Tube
Centraloecetes neapolitanus (Schiecke, 1978);Centraloecetes;neapolitanus;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;2.7;Tube
Ericthonius brasiliensis (Dana, 1853);Ericthonius;brasiliensis;0;0;0;0;0;0;0;0;0;0;0;0;1;1;0;0;0;1;0;0;0;0;0;0;0;0;0;0;7;Tube
Ericthonius difformis H. Milne Edwards, 1830;Ericthonius;difformis;0;0;1;0;0;1;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;10;Tube
Ericthonius punctatus (Spence Bate, 1857);Ericthonius;punctatus;1;1;1;1;1;1;1;1;1;1;0;0;0;0;0;1;1;0;1;1;1;1;1;1;0;0;1;0;10;Tube
Coxischyrocerus inexpectatus Ruffo, 1959;Coxischyrocerus;inexpectatus;1;1;0;0;0;0;0;0;1;0;0;0;0;0;0;0;1;0;1;0;1;0;0;0;0;0;1;0;2.5;Tube
Jassa ocia (Spence Bate, 1862);Jassa;ocia;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;1;0;0;0;0;0;0;0;0;0;0;5;Tube
